yearID,processID,pollutantID,inventory,activity,emissionRate,massUnits,distanceUnits,startUnits,rateUnits
2030,2,87,114438696.5,,5.72882E-05,kg,mi,start,kg/start
2030,2,90,35019752529,,0.017530947,kg,mi,start,kg/start
2030,2,91,488306348.9,,0.000244447,MMBTU,mi,start,MMBTU/mi
2030,2,98,38247368591,,0.019146697,kg,mi,start,kg/start
2030,2,100,7456250.253,,3.73261E-06,kg,mi,start,kg/start
2030,2,110,6599635.415,,3.30379E-06,kg,mi,start,kg/start
2031,1,2,3741483751,,0.001863292,kg,mi,start,kg/start
2031,1,3,71904659.25,,3.58092E-05,kg,mi,start,kg/start
2031,1,87,91581387.18,,4.56083E-05,kg,mi,start,kg/start
2031,1,91,8498249766,,0.004232204,MMBTU,mi,start,MMBTU/mi
2031,1,100,84705611.79,,4.21842E-05,kg,mi,start,kg/start
2031,1,110,14401989.94,,7.17232E-06,kg,mi,start,kg/start
2031,2,2,1220183302,,0.000607662,kg,mi,start,kg/start
2031,2,3,86883003.94,,4.32685E-05,kg,mi,start,kg/start
2031,2,87,107730499.8,,5.36508E-05,kg,mi,start,kg/start
2031,2,91,488610626.3,,0.000243332,MMBTU,mi,start,MMBTU/mi
2031,2,100,7476576.017,,3.7234E-06,kg,mi,start,kg/start
2031,2,110,6617738.96,,3.29569E-06,kg,mi,start,kg/start
2032,1,2,3542749352,,0.001755564,kg,mi,start,kg/start
2032,1,3,63122043.15,,3.12793E-05,kg,mi,start,kg/start
2032,1,87,87518422.48,,4.33686E-05,kg,mi,start,kg/start
2032,1,91,8406443548,,0.004165705,MMBTU,mi,start,MMBTU/mi
2032,1,100,84804085.48,,4.20236E-05,kg,mi,start,kg/start
2032,1,110,14184158.54,,7.02878E-06,kg,mi,start,kg/start
2032,2,2,1169548329,,0.000579555,kg,mi,start,kg/start
2032,2,3,83830238.01,,4.1541E-05,kg,mi,start,kg/start
2032,2,87,103832407.7,,5.14528E-05,kg,mi,start,kg/start
2032,2,91,488715750.7,,0.000242177,MMBTU,mi,start,MMBTU/mi
2032,2,100,7506659.89,,3.71983E-06,kg,mi,start,kg/start
2032,2,110,6644446.38,,3.29257E-06,kg,mi,start,kg/start
2033,1,2,3344315732,,0.001649208,kg,mi,start,kg/start
2033,1,3,53637304.5,,2.64506E-05,kg,mi,start,kg/start
2033,1,87,84438182.76,,4.16396E-05,kg,mi,start,kg/start
2033,1,91,8327275745,,0.004106493,MMBTU,mi,start,MMBTU/mi
2033,1,100,85020540.47,,4.19268E-05,kg,mi,start,kg/start
2033,1,110,14076561.26,,6.94168E-06,kg,mi,start,kg/start
2033,2,2,1128611434,,0.000556561,kg,mi,start,kg/start
2033,2,3,81280737.76,,4.00826E-05,kg,mi,start,kg/start
2033,2,87,100561049.2,,4.95904E-05,kg,mi,start,kg/start
2033,2,91,489125048,,0.000241206,MMBTU,mi,start,MMBTU/mi
2033,2,100,7547912.513,,3.72216E-06,kg,mi,start,kg/start
2033,2,110,6681047.935,,3.29468E-06,kg,mi,start,kg/start
2034,1,2,3171116188,,0.001556409,kg,mi,start,kg/start
2034,1,3,46099920.77,,2.26262E-05,kg,mi,start,kg/start
2034,1,87,82473403.45,,4.04786E-05,kg,mi,start,kg/start
2034,1,91,8257697795,,0.004052943,MMBTU,mi,start,MMBTU/mi
2034,1,100,85051049.06,,4.17437E-05,kg,mi,start,kg/start
2034,1,110,13812808.71,,6.77944E-06,kg,mi,start,kg/start
2034,2,2,1077591565,,0.00052889,kg,mi,start,kg/start
2034,2,3,78188507.99,,3.83755E-05,kg,mi,start,kg/start
2034,2,87,97049230.15,,4.76325E-05,kg,mi,start,kg/start
2034,2,91,489640190.4,,0.000240319,MMBTU,mi,start,MMBTU/mi
2034,2,100,7517444.876,,3.68962E-06,kg,mi,start,kg/start
2034,2,110,6654205.428,,3.26594E-06,kg,mi,start,kg/start
2035,1,2,3023902293,,0.001477858,kg,mi,start,kg/start
2035,1,3,40111033.08,,1.96033E-05,kg,mi,start,kg/start
2035,1,87,80963929.71,,3.95691E-05,kg,mi,start,kg/start
2035,1,91,8196150656,,0.004005668,MMBTU,mi,start,MMBTU/mi
2035,1,100,85249249.87,,4.16635E-05,kg,mi,start,kg/start
2035,1,110,13726477.13,,6.70848E-06,kg,mi,start,kg/start
2035,2,2,1045236173,,0.000510834,kg,mi,start,kg/start
2035,2,3,75680912.2,,3.69872E-05,kg,mi,start,kg/start
2035,2,87,94358803.95,,4.61156E-05,kg,mi,start,kg/start
2035,2,91,490327536.9,,0.000239636,MMBTU,mi,start,MMBTU/mi
2035,2,100,7570798.264,,3.70004E-06,kg,mi,start,kg/start
2035,2,110,6701511.282,,3.2752E-06,kg,mi,start,kg/start
2036,1,2,2902108155,,0.001409948,kg,mi,start,kg/start
2036,1,3,36137931.83,,1.75571E-05,kg,mi,start,kg/start
2036,1,87,80150818.81,,3.89401E-05,kg,mi,start,kg/start
2036,1,91,8160277715,,0.003964556,MMBTU,mi,start,MMBTU/mi
2036,1,100,85664221.86,,4.16188E-05,kg,mi,start,kg/start
2036,1,110,13727997.55,,6.66955E-06,kg,mi,start,kg/start
2036,2,2,1019680904,,0.000495398,kg,mi,start,kg/start
2036,2,3,73909729.25,,3.5908E-05,kg,mi,start,kg/start
2036,2,87,92809199.84,,4.509E-05,kg,mi,start,kg/start
2036,2,91,491023530.2,,0.000238557,MMBTU,mi,start,MMBTU/mi
2036,2,100,7608716.448,,3.69659E-06,kg,mi,start,kg/start
2036,2,110,6735158.814,,3.27218E-06,kg,mi,start,kg/start
2037,1,2,2792019031,,0.001347663,kg,mi,start,kg/start
2037,1,3,31200298.61,,1.50599E-05,kg,mi,start,kg/start
2037,1,87,78927483.63,,3.8097E-05,kg,mi,start,kg/start
2037,1,91,8137445049,,0.003927814,MMBTU,mi,start,MMBTU/mi
2037,1,100,85951926.17,,4.14876E-05,kg,mi,start,kg/start
2037,1,110,13575125.47,,6.55249E-06,kg,mi,start,kg/start
2037,2,2,997891751.9,,0.000481666,kg,mi,start,kg/start
